1378,338,2014,7,25,0
1378,620,2014,10,12,4
1378,988,2014,10,18,3
1378,44,2014,10,26,3
1378,346,2014,11,17,4
1378,850,2014,12,1,4
1378,1110,2014,12,1,0
1378,259,2014,12,4,2
1378,888,2014,12,12,3
1378,583,2014,12,15,2
1378,862,2014,12,20,3
1378,308,2015,1,22,4
529,1010,2015,5,8,0
529,618,2015,5,11,2
529,986,2015,5,13,2
529,305,2015,5,13,0
529,79,2015,5,15,2
529,655,2015,5,15,0
529,534,2015,5,16,1
529,1102,2015,5,17,1
529,731,2015,5,19,2
529,627,2015,5,25,3
529,663,2015,5,26,1
529,799,2015,5,27,1
529,920,2015,5,27,0
529,974,2015,5,30,2
529,386,2015,6,3,3
529,405,2015,6,6,2
529,367,2015,6,6,0
511,78,2014,8,14,0
511,199,2014,8,25,4
511,6,2014,8,28,2
511,314,2014,9,6,4
511,1042,2014,9,15,4
511,865,2014,10,3,4
511,626,2014,10,8,3
511,314,2014,10,10,2
511,620,2014,10,11,1
511,323,2014,10,11,0
511,1048,2014,10,13,2
511,463,2014,10,14,1
511,295,2014,11,14,4
511,305,2014,11,29,4
511,850,2014,12,1,2
511,1110,2014,12,1,0
511,295,2014,12,17,4
511,177,2014,12,26,4
511,305,2014,12,29,2
511,536,2015,1,9,4
511,537,2015,1,12,2
511,139,2015,1,22,4
1350,338,2014,7,26,0
1350,199,2014,8,25,4
1350,481,2014,8,26,1
1350,784,2014,8,27,1
1350,413,2014,10,13,4
1350,762,2014,11,19,4
1350,950,2014,11,20,1
1350,345,2014,11,22,2
1350,361,2014,11,23,1
1350,144,2014,11,24,1
1350,479,2014,11,25,1
1350,910,2014,11,27,2
1350,862,2014,12,20,4
1350,554,2014,12,20,0
1350,299,2014,12,22,2
1350,592,2014,12,30,3
1350,74,2014,12,30,0
1350,751,2015,1,11,4
1350,361,2015,1,20,4
1087,952,2015,4,25,0
1087,635,2015,4,30,3
1087,643,2015,5,8,3
1087,341,2015,5,8,0
1087,618,2015,5,9,1
1087,438,2015,5,10,1
1087,585,2015,5,12,2
1087,986,2015,5,14,2
1087,527,2015,5,14,0
1087,1057,2015,5,14,0
1087,129,2015,5,15,1
1087,1102,2015,5,15,0
1087,1102,2015,5,16,1
1087,384,2015,5,16,0
1087,631,2015,5,17,1
1087,731,2015,5,19,2
1087,1025,2015,5,20,1
1087,579,2015,6,4,4
1087,1024,2015,6,7,2
1087,466,2015,6,12,3
1759,555,2014,7,12,0
1759,78,2014,8,14,4
1759,10,2014,10,1,4
1759,305,2014,11,30,4
1759,836,2014,12,26,4
1759,814,2015,1,2,3
1759,1006,2015,1,27,4
1759,661,2015,2,3,3
1759,433,2015,2,4,1
1759,945,2015,2,5,1
1759,231,2015,2,6,1
1759,294,2015,2,9,2
1759,882,2015,2,10,1
1759,404,2015,2,12,2
1759,272,2015,2,23,4
1759,100,2015,2,28,3
1759,517,2015,3,6,3
1759,548,2015,3,8,2
1759,1081,2015,3,9,1
1759,1111,2015,3,11,2
1759,1157,2015,3,13,2
1759,450,2015,3,14,1
1759,1011,2015,3,14,0
1759,328,2015,3,14,0
1759,905,2015,3,16,2
1759,22,2015,3,17,1
1759,250,2015,3,28,4
1759,148,2015,4,16,4
1759,901,2015,4,18,2
1759,216,2015,4,18,0
1759,530,2015,4,18,0
1759,728,2015,4,18,0
1759,813,2015,5,4,4
493,346,2014,10,2,0
493,620,2014,10,11,4
493,688,2014,10,21,4
493,288,2014,10,23,2
493,1104,2014,11,11,4
493,92,2014,11,15,3
493,345,2014,11,23,3
493,259,2014,12,4,4
493,247,2014,12,12,3
493,1075,2014,12,22,4
493,904,2014,12,29,3
493,592,2014,12,30,1
493,1109,2014,12,31,1
493,1110,2015,1,8,3
493,57,2015,1,10,2
